Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Rwanda,RWA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00399399,7.86746025,7.32393837,17.25927353,20.23413277,25.02086639,27.1564312,33.50738907,39.94568634,43.99641418,47.96871567,51.64939499,57.26393127,47.75388718,50.63835144,48.81296921,43.54212189,40.76682663,42.11674881,39.81322098,45.15266418,51.64677429,57.83102036,52.65630722,,
Kenya,KEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.53400993,22.11487579,22.28772163,25.64012337,27.65002823,30.9943428,40.3040123,49.44605255,54.35681915,55.455616,58.8164711,57.02286911,64.48231506,67.59809875,72.84589386,70.94755554,73.88768005,66.46552277,75.27681732,85.64528656,86.5921936,94.20249176,91.18416595,84.958992,,
Uganda,UGA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42602158,15.99579906,15.74441719,14.23364067,18.60707474,25.86819267,31.60310555,36.10126495,40.04308701,44.3670578,51.88574982,55.2076683,55.03918457,52.906353,50.957798,40.09843445,39.08125305,31.43818092,32.9515686,33.36559677,44.73381805,51.03484726,44.47286224,45.21318436,,
Burundi,BDI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67927122,7.50815582,6.46998882,5.87316799,8.88248062,11.13118172,14.10514736,15.26294613,14.67025566,18.31996346,24.45114708,23.16802216,20.01195908,20.26322556,18.06601143,17.67629051,18.59472847,19.16676521,18.67819214,22.2435379,26.21934319,23.11420059,25.52155113,28.14028931,,
Tanzania,TZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33031845,15.1739912,17.0355854,20.39437675,23.4493866,27.71374512,35.59762955,36.23610306,36.26182556,33.9993782,37.18493271,37.75179672,41.99654007,43.46931839,39.85456848,33.27184296,36.65267563,39.03767014,41.27171326,39.97783661,31.7036171,37.53121185,35.93323135,36.25619888,,
